season_name,location,count,sd,reference
1958/59,CS,2,,"O'Gorman, F. (1961). Fur seals breeding in the Falkland Islands Dependencies. Nature, 192, 914-916. https://doi.org/10.1038/192914a0"
1965/66,CS,12,,"Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X"
1970/71,CS,27,,"Laws, R. M. (1973). Population increase of Fur Seals at South Georgia. Polar Record, 16(105), 856-858. https://doi.org/10.1017/S003224740006397X"
1972/73,CS,83,,"Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X"
1972/73,STI,218,,"Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X"
1986/87,CS,718,,"Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30"
1986/87,SSI,3824,,"Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30"
1986/87,STI,1875,,"Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30"
1991/92,CS,2973,,"Aguayo, L., & Torres, D. (1993). Análisis de los censos de Arctocephalus gazella efectuados en el Sitio de Especial Interés Científico Nº 32, isla Livingston, Antártica. Serie científica INACH, 43, 87-91. http://hdl.handle.net/20.500.11894/758"
1991/92,SSI,6781,,"Croll, D., Bengtson, J., Holt, R. S., & Torres, D. (1992). AMLR 1991/92 Field Season Report. Census of Antarctic fur seal colonies of the South Shetland Islands, 1991-92. U.S. Department of Commerce, NOAA Administrative Report LJ-92-17, 82-85."
1991/92,STI,2340,,"Croll, D., Bengtson, J., Holt, R. S., & Torres, D. (1992). AMLR 1991/92 Field Season Report. Census of Antarctic fur seal colonies of the South Shetland Islands, 1991-92. U.S. Department of Commerce, NOAA Administrative Report LJ-92-17, 82-85."
1992/93,CS,3672,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1992/93,STI,2050,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1993/94,CS,3474,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1993/94,STI,2583,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1994/95,CS,4036,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1994/95,STI,2083,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1995/96,CS,4968,,"Torres, D., Vallejos, V., Acevedo, J., Hucke-Gaete, R., & Zarate, S. (1998). Registros biológicos atípicos en cabo Shirreff, isla Livingston, Antártica. Boletin Antarctico Chileno, 17, 17-19. http://antarticarepositorio.umag.cl/handle/20.500.11894/271"
1995/96,SSI,9530,,"Meyer, W., Walker, B., & Holt, R. (1996). Antarctic fur seal abundance and distribution in the South Shetland Islands, 1996. In J. Martin (Ed.), AMLR 1995/96 Field Season Report (Vol. NOAA-AR-LJ 96-15). Antarctic Ecosystem Research Group, SWFSC/NMFS/NOAA."
1995/96,STI,2684,,"Torres, D., Vallejos, V., Acevedo, J., Hucke-Gaete, R., & Zarate, S. (1998). Registros biológicos atípicos en cabo Shirreff, isla Livingston, Antártica. Boletin Antarctico Chileno, 17, 17-19. http://antarticarepositorio.umag.cl/handle/20.500.11894/271"
1996/97,CS,5689,,"Torres, D., Vallejos, V., Acevedo, J., Hucke-Gaete, R., & Zarate, S. (1998). Registros biológicos atípicos en cabo Shirreff, isla Livingston, Antártica. Boletin Antarctico Chileno, 17, 17-19. http://antarticarepositorio.umag.cl/handle/20.500.11894/271"
