season_end,location,count,sd,reference
1959,CS,2,,"O'Gorman, F. (1961). Fur seals breeding in the Falkland Islands Dependencies. Nature, 192, 914-916. https://doi.org/10.1038/192914a0"
1966,CS,12,,"Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X"
1971,CS,27,,"Laws, R. M. (1973). Population increase of Fur Seals at South Georgia. Polar Record, 16(105), 856-858. https://doi.org/10.1017/S003224740006397X"
1973,CS,83,,"Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X"
1973,STI,218,,"Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X"
1987,SSI,3824,,"Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30"
1987,CS,718,,"Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30"
1987,STI,1875,,"Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30"
1992,SSI,5313,,"Croll, D., Bengtson, J., Holt, R. S., & Torres, D. (1992). AMLR 1991/92 Field Season Report. Census of Antarctic fur seal colonies of the South Shetland Islands, 1991-92. U.S. Department of Commerce, NOAA Administrative Report LJ-92-17, 82-85."
1992,CS,2973,,"Aguayo, L., & Torres, D. (1993). Análisis de los censos de Arctocephalus gazella efectuados en el Sitio de Especial Interés Científico Nº 32, isla Livingston, Antártica. Serie científica INACH, 43, 87-91. http://hdl.handle.net/20.500.11894/758"
1992,STI,2340,,"Croll, D., Bengtson, J., Holt, R. S., & Torres, D. (1992). AMLR 1991/92 Field Season Report. Census of Antarctic fur seal colonies of the South Shetland Islands, 1991-92. U.S. Department of Commerce, NOAA Administrative Report LJ-92-17, 82-85."
1993,CS,3672,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1993,STI,2050,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1994,CS,3474,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1994,STI,2583,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1995,CS,4036,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
1995,STI,2083,,"Torres, D. (1995). Antecedentes y proyecciones cientificas de los estudios en el SEIC No 32 y Sitio CEMP 'Cabo Shirreff e Isoltes San Telmo', isla Livingston, Antarctica. Serie científica INACH, 45, 143-169. http://antarticarepositorio.umag.cl/handle/20.500.11894/747"
